MOL1	MOL2	CLASS
CCCCCCOc1ccc(cc1)N=Nc1ccncc1	Oc1cc(O)cc(O)c1	1
ON=C1CCCCC1=NO	C(Cc1ccncc1)c1ccncc1	1
CC(C)c1c(O)c(O)c(C=O)c2c(O)c(c(C)cc12)c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O	Cc1ccncc1	1
COC(C)(C)C	CC=C1C2CC3=C(C=CC(=O)N3)C1(N)CC(=C2)C	1
Cc1ccc(C)c(O)c1	CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC43CCC(=O)O4)C12	1
NC(=O)CCN1C=NC2=C1N=C(N)NC2=O	CN1C=CC(=NC1=O)N	1
NC1=NC(=O)NC=C1	NC1=NC(=CC(=O)N1)c1ccccc1	1
CC(C)(C)C(=O)Nc1ccc(cn1)c1ccc(NC(=O)C(C)(C)C)nc1	OC(=O)Cc1ccc(CC(O)=O)cc1	1
CC1=CN(Cc2ccc(cc2)C2=[N+]([O-])C(C)(C)C(C)(C)N2=O)C(=O)NC1=O	CC1(C)[N+](=C(c2ccc(CN3C=Nc4c(N)ncnc34)cc2)N(=O)C1(C)C)[O-]	1
C	OC(=O)C12CCCC(C1)(C(O)=O)C(O2)(C1CC1)C1CC1	1
OC(=O)c1cccc(c1)C(O)=O	NN1C(=NN=C1c1ccncc1)c1ccncc1	1
OC(=O)C=Cc1ccc(O)cc1	CN1C=NC2=C1C(=O)N(C)C(=O)N2C	1
OC(=O)C=Cc1ccccc1	NC(=O)c1cccc(c1)N(=O)=O	1
Cc1ccc(cc1)C(=Cc1ccc2ccccc2c1)C#N	N#Cc1cc(C#N)c(cc1C#N)C#N	1
O=C1NC(=O)C=C1	Nc1nc(N)c(Cl)cc1Cl	1
NC(=O)C1=NC=CN=C1	OC(=O)C=CC(O)=O	0
CC1=CSC(=N1)N	OC(=O)CCCCCCCCC(O)=O	1
NC(=O)C1=CC=NC=C1	COC1=CC=C(C=C1)C(O)=O	0
CCCOC(=O)c1ccc(O)cc1	CN1CC(=O)N2C(CC3=C(Nc4ccccc34)C2c2ccc3OCOc3c2)C1=O	1
Nc1ccc(cc1Cl)N(=O)=O	CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C	1
NNC(=O)CC1=CNc2ccccc12	CC(=NNC(=O)CC1=CNc2ccccc12)c1ccc(O)cc1O	1
NC(N)=O	NC(=O)C1=CC=C(F)C=C1	0
C1=CC2=C3C(=C1)C=CC1=CC=CC(=C31)C=C2	C1=CC=C2C(=C1)C=CC1=C2C=CC2=CC=CC=C12	0
CC(=O)NC1=CC=C(O)C=C1	C1=NC=CN=C1	0
Nc1ccc(cc1)C(O)=O	COc1c2OC=Cc2cc2C=CC(=O)Oc12	1
FC(F)(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I	N#CCCCCC#N	1
CN(C)c1ccncc1	Oc1ccc(Cl)cc1	1
OC1=CC=C(C=C1)[N+](=O)[O-]	OC(=O)C=CC1=CC=CC=C1	0
CN1N(C(=O)C=C1C)C1=CC=CC=C1	NC(N)=O	0
N#Cc1cc(C#N)c(cc1C#N)C#N	OC(=O)Cc1cccc2ccccc12	1
Oc1ccc(F)cc1	O=C1C=CC(=O)C=C1	1
COc1ccc(cc1)C=Cc1ccncc1	CCCCCCCCCCCCOc1ccc(cc1)N=Nc1c(F)c(F)c(I)c(F)c1F	1
OC(=O)c1cc(Cl)cc(Cl)c1O	Cc1cnc(C)cn1	1
OC(C(O)c1ccccc1)c1ccccc1	c1ccc2cnccc2c1	1
OC(C(O)C(O)=O)C(O)=O	COc1ccccc1OCCNCC(O)c1ccc(C)c(c1)S(N)(=O)=O	1
Nc1ccccn1	OC(=O)CC(O)=O	1
COC(=O)C(C)Cl	Oc1c2ccccc2c2ccccc2c1c1c(O)c2ccccc2c2ccccc12	1
COc1cc2Cc3cc(OC)c(OC)cc3Cc3cc(OC)c(OC)cc3Cc2cc1OC	N#CC(C#N)=C(C#N)C#N	1
Cc1ccncc1	OC1(C#CC2(O)c3ccccc3c3ccccc23)c2ccccc2c2ccccc12	1
NC(N)=O	OC(=O)c1ccc2ccccc2c1c1c(ccc2ccccc12)C(O)=O	1
CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]	OC(=O)C1=CC=CC=C1O	0
Fc1c(F)c(I)c(F)c(F)c1I	Oc1ccccc1C=Nc1cccnc1	1
C1=CC=C(C=C1)C1=CC=CC=C1	CC(C)(C)CO	0
c1ccc2nc3ccccc3nc2c1	O=C1NC(=O)NC(=O)N1	1
OC(=O)c1ccc(cc1)N(=O)=O	Nc1cccc(Cl)n1	1
C1N2CN3CN1CN(C2)C3	Ic1ccc(I)cc1	1
COC1=C(O)C=CC(=C1)C=CC(=O)CC(=O)C=CC1=CC(=C(O)C=C1)OC	NC(=O)C1=CN=CC=C1	0
C1CCC2CCCCC2C1	COc1cc(cc(OC)c1Oc1cc(Cl)ncn1)C12CC3CC(C1)CC(C3)(C2)c1cc(OC)c(Oc2cc(Cl)ncn2)c(OC)c1	1
CC1CCCCC1	CC1(C)CC(C)(c2ccc(cc2)N2C(=O)c3ccccc3N=C2c2ccccc2)c2ccccc2O1	1
O=C1C=CCC2CCCN2C(=O)C=CCC2CCCN12	Oc1c(F)c(F)c(F)c(F)c1F	1
CC1C(NC1=O)S(=O)(=O)c1ccccc1	CC1(C)C(NC1=O)S(=O)(=O)c1ccccc1	1
c1ccc(nc1)c1ccccn1	FI(F)c1c(F)c(F)c(F)c(F)c1F	1
Oc1ccc(O)cc1	O=S(=O)([O-])CC[n+]1ccc(cc1)c1cc[n+](CCS(=O)(=O)[O-])cc1	1
CCCCCCOc1ccc(cc1)N=Nc1ccncc1	Oc1cccc(O)c1	1
CC(C)(O)C#Cc1cccc(Br)n1	O=P(c1ccccc1)(c1ccccc1)c1ccccc1	1
CN(C)c1ccncc1	Cc1cc(O)cc(O)c1	1
CC(C)(C)c1cc(NC(=O)C=Cc2cc(cc(c2)C(C)(C)C)C(C)(C)C)cc(c1)C(C)(C)C	C1CCOc2ccc(COCc3cccc(n3)c3cccc(COCc4ccc(OC1)cc4)n3)cc2	1
OC(=O)CCCCC(O)=O	Cc1ccc2N=C(N)Sc2c1	1
O=C1C=CC(=O)C=C1	Nc1ccc(cc1)c1ccc(N)cc1	1
CCCCCCOc1ccc(cc1)C=Cc1ccncc1	Fc1cc(I)c(F)c(F)c1F	1
S1C=CSC1=C1SC=CS1	CC1=CC(C=C(C)C1=O)=C(C#N)C#N	1
S1C=CSC1=C1SC=CS1	OC1=C(Cl)C(=O)C(=C(Cl)C1=O)O	1
C(Cc1ccncc1)c1ccncc1	OC(=O)CCC1=NC(=C(O1)c1ccccc1)c1ccccc1	1
NC(=O)c1ccc(cc1)N(=O)=O	OC(=O)CCCC(O)=O	1
CC(C)C1CCC(C)CC1O	CCN(CC)CC(=O)Nc1c(C)cccc1C	1
CC(C)c1ccc(C)c2C(=O)Oc3c(ccc(C)c3C(=O)Oc3c(ccc(C)c3C(=O)Oc12)C(C)C)C(C)C	c1ccc(cc1)C=Cc1ccccc1	1
NC(=O)N1c2ccccc2C=Cc2ccccc12	OC(=O)C=CC(O)=O	1
COC1=CC(=O)C=CC1=O	COc1cc(O)ccc1O	1
Oc1ccccc1O	c1ccc2nc3ccccc3nc2c1	1
OC(=O)c1cccc(c1)C#N	NC(=O)c1ccc(O)cc1	1
Fc1c(F)c(I)c(F)c(F)c1I	C1=CN(C=N1)c1ccc(cc1)N1C=CN=C1	1
CN1C(=C(O)C2=CC=CC=C2S1(=O)=O)C(=O)NC1=CC=CC=N1	NC1=CC=C(C=C1)C(O)=O	0
C1=CC=C2C=CC=CC2=C1	N1C=CC2=CC=CC=C12	0
Oc1ccncc1	Oc1ccc(O)cc1	1
C(Cc1ccncc1)Cc1ccncc1	CN(C)c1ccc(cc1)N=Nc1ccc(O)cc1	1
CC1=NN2C=C(C)N=C2S1	OC(=O)Cc1ccc(cc1)N(=O)=O	1
C1CC2=CC=CC3=C2C1=CC=C3	CC1=CC2=C(C=C1)C=CC(=C2)C	0
O=C1Oc2ccccc2c2c1ccc1ccccc21	Oc1ccccc1	1
CC(C)N(C)C(=O)C(=O)c1ccccc1	OC(C1OC2(CCCCC2)OC1C(O)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1	1
Fc1ccc(cc1)C(=O)Nc1cccc(c1)C#C	Fc1c(F)c(F)c(F)c(F)c1F	1
CC1=C(SCC(O)=O)C(=O)c2ccccc2C1=O	c1cnc2c(c1)ccc1cccnc21	1
c1ccc(C=NN=Cc2ccccn2)nc1	OC(=O)Cc1ccc(cc1)N(=O)=O	1
OC(=O)CCCC(O)=O	OC(=O)CCCCC(O)=O	0
O=C([O-])C1[NH2+]CCC1	CCOc1ccc(Cc2cc(ccc2Cl)C2OC(CO)C(O)C(O)C2O)cc1	1
Nc1ccc(cc1)C#N	Nc1ccc(cc1)C(O)=O	1
CC1=CC(=NO1)NS(=O)(=O)c1ccc(N)cc1	COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC	1
NC(=O)c1ccc(O)cc1	OC(=O)CCCC(O)=O	1
NC(=O)C1=CN=CC=C1	COC1=C(OC)C=C2CC(=O)N(CCCN(C)CC3CC4=CC(=C(OC)C=C34)OC)CCC2=C1	0
O=C(CCC(=O)N(Cc1ccccc1)Cc1ccccc1)N(Cc1ccccc1)Cc1ccccc1	O=C1NCc2ccc(CNC(=O)c3cccc(c3)C(=O)NCc3ccc(CNC(=O)c4cccc1c4)cc3)cc2	1
OCc1ccc(F)cc1	CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C	1
OC(=O)CCCC(O)=O	O=C1CN(CC2N1CCc1ccccc21)C(=O)C1CCCCC1	1
FC(F)(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I	c1cc(ccn1)C=Cc1ccncc1	1
Oc1cccc2c(O)cccc12	Cc1cccc(C)c1NC(=O)COc1cccc2cccnc12	1
OC(=O)c1ccc(O)cc1	c1cc(ccn1)C=Cc1ccncc1	1
NC(N)=O	Oc1cccc(c1)N(=O)=O	1
NC(N)=S	C1CN2CCN1CC2	1
O=C([O-])c1[nH+]ccc2ccccc12	OCC(O)C1OC(=O)C(=C1O)O	1
COc1cc(cc(OC)c1OC)C(O)=O	Cc1nc(N)nc(N)n1	1
CN1C(=C([O-])c2ccccc2S1(=O)=O)C(=O)Nc1[nH+]cccc1	OC(=O)c1ccc(O)cc1	1
ClC1=CC=C(Br)C=C1	CCCCCCCCCCCCCCO	0
N#Cc1cc(C#N)c(cc1C#N)C#N	CN(C)c1ccc(N)cc1	1
CN1C(=O)N(C)C2=C(NC=N2)C1=O	NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1	0
Ic1cc(cc(c1)N(=O)=O)N(=O)=O	CN(C)c1ccncc1	1
OCC(O)C1OC(=O)C(=C1O)O	OC(=O)C1=CC=C(C=C1)[N+](=O)[O-]	0
FC1=C(F)C(C(=C(F)C1=C(C#N)C#N)F)=C(C#N)C#N	c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc12	1
Oc1ccccc1O	Cc1ccc2ccc3ccc(C)nc3c2n1	1
CSC1=C(SC)SC(S1)=C1SC2=C(S1)SC1=C(SC(S1)=C1SC=CS1)S2	N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N	1
c1ccc2c(c1)ccc1ccccc21	CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C	1
OC(=O)c1cc(O)ccc1O	CN1C(=O)N(C)C2=C(NC=N2)C1=O	1
OC(C#Cc1ccc(cc1)C#CC(O)(c1ccccc1)c1ccccc1Cl)(c1ccccc1)c1ccccc1Cl	O=C1CCCC2C3CCCC(=O)C3C12	1
S1C=CSC1=C1SC=CS1	N#CC(C#N)=C(C#N)C#N	1
C(Cc1ccncc1)c1ccncc1	Oc1ccc(cc1)S(=O)(=O)c1ccc(O)cc1	1
FC(F)(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I	O=C(NCCCCCCNC(=O)c1cccnc1)c1cccnc1	1
Cc1ccncc1	Nc1ccc(cc1)C(O)=O	1
c1cnccn1	OC(=O)C(O)=O	1
Fc1c(F)c(I)c(F)c(F)c1I	c1ccc2N3N=NC=C3C=Cc2c1	1
CC(C)NC(C)C	OC1(C#C)c2cccc(Cl)c2C(O)(C#C)c2cccc(Cl)c12	1
CCOC(=O)C1=C(C)NC(=C(C1c1cccc(Cl)c1Cl)C(=O)OC)C	N1C=CN=C1	1
OC(=O)CCCC(O)=O	CC1=NC(=NC(=C1)C)NS(=O)(=O)C1=CC=C(N)C=C1	0
C[NH+](C)C[C-]1S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)S1(=O)=O	CN(C)P(=O)(N(C)C)N(C)C	1
[O-][n+]1ccc(cc1)C#N	Oc1ccc(cc1)c1ccc(cc1)N(=O)=O	1
Oc1cc2ccccc2c2ccccc12	CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C	1
c1ccc2nc3ccccc3cc2c1	OC(=O)CC1c2ccccc2c2ccccc12	1
c1ccc(cc1)c1ccccc1	N#Cc1cc(C#N)c(cc1C#N)C#N	1
c1cc(ccn1)c1ccncc1	OC(=O)CCCCCC(O)=O	1
NS(=O)(=O)C(F)(F)F	C1OCC2(CO1)COCOC2	1
Nc1ncccn1	OC(=O)COc1ccc(Cl)cc1Cl	1
Cc1cc2N=CN(Cc3ccncc3)c2cc1C	ON=C(C#N)c1ccc(F)cc1	1
CC1=NC(=CC(=O)N1)C	Oc1cc(O)cc(O)c1	1
OC(=O)c1ccccc1O	[O]n1ccc(cc1)N(=O)=O	1
c1cc(ccn1)C#Cc1ccncc1	OC1=CC(=O)C(=CC1=O)O	1
OC(=O)CCCCNC(=O)C(=O)NCCCCC(O)=O	c1cc(ccn1)C#CC#Cc1ccncc1	1
N#Cc1ccc(cc1)C#N	IC(I)=C(I)I	1
OC1(c2ccccc2)c2ccccc2C(O)(c2ccccc2)c2ccccc12	CC1CCC(=O)C1	1
OC(=O)c1cccc(c1)N(=O)=O	Cc1cc2ccccc2cc1C	1
O=C1N=Cc2ccccc12	O=C1NC(=O)C2C3CC(C4N=NN(C34)c3ccccc3N(=O)=O)C12	1
c1cc2cccc3c4cccc5cccc(c(c1)c23)c45	BrC1=C(Br)C(=O)C(=C(Br)C1=O)Br	1
Cc1ccc(O)cc1	O=C(C=CC(=O)N(C1CCCCC1)C1CCCCC1)N(C1CCCCC1)C1CCCCC1	1
O=N(=O)c1cccc2ncccc12	Nc1ccc(cc1)C(O)=O	1
NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1Cl	NC(=O)c1cnccn1	1
Fc1c(F)c(F)c(F)c(F)c1F	CC(C)(C)c1cc(nc(c1)c1cc(cc(n1)c1ccccc1)C(C)(C)C)c1ccccc1	1
NC(=O)c1cccnc1	OC(=O)c1ccc(O)cc1O	1
NC(=O)C1=CC=CC=C1	CC1=CC=CC=C1C(O)=O	0
OC(=O)C=Cc1ccccc1	CC(C)=NNC(=O)c1ccncc1	1
Cc1ccc(Br)cc1	CC(CCC(N)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C	1
Nc1nc(N)nc(n1)N1CCCCC1	O=C1CCCC(=O)N1	1
ON=Cc1ccccc1O	C1COCCOCCNCCOCCOCCN1	1
CN1C=NC2=C1C(=O)N(CCCCC(C)=O)C(=O)N2C	NS(=O)(=O)c1cc(C(O)=O)c(NCC2=CC=CO2)cc1Cl	1
BrC(Br)=C(Br)Br	c1cnccn1	1
Fc1c(F)c(N=Nc2c(F)c(F)c(I)c(F)c2F)c(F)c(F)c1I	C1CN2CCN1CC2	1
CCCCCCCCCOc1ccc(cc1)C1=NN=C(O1)c1ccncc1	Fc1c(I)c(F)c(I)c(F)c1I	1
CN1C=NC2=C1C(=O)N(C)C(=O)N2C	CC1=CC=CC=C1C(N)=O	0
N#CC(C#N)=C1SC2=CC(SC2=C1)=C(C#N)C#N	C1CSC2=C(S1)SC(S2)=C1SC2=C(SCCS2)S1	1
Fc1c(F)c(I)c(F)c(F)c1I	O=C(NCc1ccncc1)NCc1ccncc1	1
CS(=O)(=O)NS(C)(=O)=O	C1COCCOCCOCCOCCOCCO1	1
NC(N)=O	COC1=CC=C(C=C1)C(O)=O	0
OC(=O)COc1cccc2ccccc12	CN1C=NC2=C1C(=O)N(C)C(=O)N2C	1
Oc1cc(O)cc(O)c1	CN1CC(=Cc2ccncc2)C(=O)C(C1)=Cc1ccncc1	1
Fc1c(F)c(N=Nc2c(F)c(F)c(I)c(F)c2F)c(F)c(F)c1I	Cc1cncc(C)c1c1cccc2cc3cccc(c3cc12)c1c(C)cncc1C	1
CC(=O)c1cccc(c1)C(C)=O	C#Cc1ccc(cc1)C#C	1
OC(=O)c1c(O)cc(O)cc1O	c1cnccn1	1
c1ccc(cc1)C=Cc1ccncc1	Oc1cc(O)c(Br)cc1Br	1
Oc1ccc(c2c1c1c(O)ccc(c21)N(=O)=O)N(=O)=O	CC1=CC(=O)C=C(C)O1	1
OC(=O)c1cc(cc2Oc3cc(ccc3c12)N(=O)=O)N(=O)=O	CN(C)P(=O)(N(C)C)N(C)C	1
CC(Oc1ccccc1)C(O)=O	[NH3+]C(C)C(=O)[O-]	1
Oc1ccccc1c1ccccc1	CCN1C=C(C(O)=O)C(=O)c2ccc(C)nc12	1
OC(=O)CCCCCCC(O)=O	NC(=O)c1cccnc1	1
CC1=CC=[N+]([O-])C=C1	IC1=CC=C(I)C=C1	0
Oc1ccccc1O	Nc1ccc(Cc2ccc(N)cc2)cc1	1
C1=CC=C2C(=C1)C=CC1=CC=CC=C21	CC1=C2C(=CC=C1)C=CC1=CC=CC(=C21)C	0
CN1C(=C([O-])c2ccccc2S1(=O)=O)C(=O)Nc1[nH+]cccc1	OC(=O)c1ccccc1O	1
COc1ccc2N(C(=C(CC(=O)OCC(O)=O)c2c1)C)C(=O)c1ccc(Cl)cc1	NC(=O)c1ccccn1	1
C1=CC=C(C=C1)C1=CC=NC=C1	IC1=CC=C(I)C=C1	0
Nc1ccc(cc1)S(=O)(=O)c1ccc(N)cc1	OC(=O)c1cc(cc(c1)N(=O)=O)C(O)=O	1
C1COCCOCCOCCOCCOCCO1	Nc1cc(F)cc(N)c1F	1
S1C=C2Sc3nc4ccccc4nc3SC2=C1	N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N	1
Cc1ccccc1S(C)=O	[NH3+]C(C(C)CC)C(=O)NC(C(=O)[O-])c1ccccc1	1
NC1=CN=C(Br)C=N1	OC(=O)CCCCCCC(O)=O	0
C#C	C=O	1
C(Cc1ccncc1)c1ccncc1	Oc1cccc2ccccc12	1
C1COCCOCCOCCOCCOCCO1	NC(=S)NNC(=O)c1ccc2ccccc2n1	1
OC(=O)c1cccc2cccc(C(O)=O)c12	c1cncc(c1)C1C(C(C1c1cccnc1)c1ccncc1)c1ccncc1	1
Nc1ccccc1C(O)=O	Cc1cn([O])ccc1N(=O)=O	1
OC(=O)c1ccc(O)cc1	Cc1ccnc2N(C3CC3)c3ncccc3C(=O)Nc12	1
OC(=O)c1cc(cc(c1)C(O)=O)C(O)=O	O=P(c1ccccc1)(c1ccccc1)c1ccccc1	1
NC(N)=O	NC1=CC(=CC=C1)O	0
CN1C=NC2=C1C(=O)N(C)C(=O)N2C	CC1=CC=C(C=C1)C(N)=O	0
OC(=O)c1cccc(Br)c1	CN1C(=C(O)c2ccccc2S1(=O)=O)C(=O)Nc1ccccn1	1
O=N(=O)c1cc2cccnc2c2ncccc12	OC(=O)c1c(Br)c(Br)c(C(O)=O)c(Br)c1Br	1
O=C1CCCCCN1	Nc1ccc(cc1)S(=O)(=O)c1ccc(N)cc1	1
OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c1ccc(Cl)cc1	OC1=C(Cl)C(=O)C(=C(Cl)C1=O)O	1
O=C1N(c2ccccc2)C(=[N+](c2ccccc2)C(=C1c1ccccc1)[O-])c1ccccc1	O=C1[N+](=C(N(c2ccccc2)C(=C1c1ccccc1)[O-])c1ccccc1)c1ccccc1	1
N1C=CN=C1	OC(CCC1C(N(C1=O)c1ccc(F)cc1)c1ccc(O)cc1)c1ccc(F)cc1	1
O=N(=O)c1cccc2ncccc12	OC(=O)c1cc(Cl)ccc1N(=O)=O	1
OC(=O)CCCCCCCCC(O)=O	O=C(Nc1ccccn1)c1ccncc1	1
CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C	C1C=Cc2ccccc12	1
CCC1=CC(=NN1)c1ccccc1	CCC1=NNC(=C1)c1ccccc1	1
Oc1cc(O)c(I)cc1I	COC(=O)C=Cc1cccnc1	1
CC1=CC(=O)c2ccccc2C1=O	Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1	1
C1COCCOCCOCCOCCOCCO1	CS(=O)(=O)N(Cl)S(C)(=O)=O	1
N1c2ccccc2Sc2ccccc12	N#Cc1cc(C#N)c(cc1C#N)C#N	1
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1	Cc1ccc(cc1)C(O)=O	1
Nc1nc(N)nc(n1)c1ccccc1	OC(=O)CSc1ccccc1	1
O=C1CCCC1	CN1C(=O)C2(OP(c3ccccc3)(c3ccccc3)(c3ccccc3)c3cc(C)c(C)cc23)c2ccccc12	1
Brc1ccc(Oc2nc(Oc3ccc(Br)cc3)nc(Oc3ccc(Br)cc3)n2)cc1	Brc1cc(Br)cc(Br)c1	1
ON=C1CCCCC1	C1CCC(CC1)NC1CCCCC1	1
[O]n1ccn([O])cc1	O=C1CC(=O)NC(=O)N1	1
OC(=O)c1ccc(cc1Cl)N(=O)=O	c1cnccn1	1
BrN1C(=O)CCC1=O	c1cc(ccn1)c1ccncc1	1
C(Cc1ccncc1)c1ccncc1	Oc1ccc(Cl)cc1Sc1cc(Cl)ccc1O	1
C1CNCCN1	Oc1nc(Cl)c(Cl)cc1Cl	1
NC(=O)c1ccncc1	OC(=O)c1ccc2OCOc2c1	1
O=C(Nc1ccccn1)c1cccnc1	OC(=O)CC(O)=O	1
c1cc(ccn1)c1ccncc1	OC(=O)c1cc(C(O)=O)c(cc1C(O)=O)C(O)=O	1
Fc1c(F)c(I)c(F)c(F)c1I	Nc1ccc(cc1)C(=O)c1ccccc1	1
O=N(=O)c1ccccc1	C1COc2ccccc2Oc2cc3ccccc3cc2Oc2ccccc2OCCOCc2cccc(CO1)n2	1
OC(=O)c1ccc(O)cc1O	O=C1NC(=O)C=C1	1
OC(c1ccccc1)(c1ccccc1)C(O)(c1ccccc1)c1ccccc1	O=C1CCC(C=C1)(c1ccccc1)c1ccc(cc1)C#N	1
OC(=O)Cc1cccc(Cl)c1	Nc1nc(N)nc(N)n1	1
O=C1C=CC(=O)C=C1	Oc1ccc2ccccc2c1c1c(O)ccc2ccccc12	1
Cc1cc(C)cc(N)c1	Oc1ccc2ccccc2c1c1c(O)ccc2ccccc12	1
CC(=NO)C(C)=NO	C1CN=C(N1)c1ccccc1C1=NCCN1	1
IC1=C(I)C(=O)C(=C(I)C1=O)I	S1C=CSC1=C1SC=CS1	1
OC(=O)c1cccc(c1)N(=O)=O	CCOc1ccccc1C(N)=O	1
OC(=O)CSC1=C(SCC(O)=O)C(=O)c2ccccc2C1=O	O=P(c1ccccc1)(c1ccccc1)c1ccccc1	1
CCC(N1CCCC1=O)C(N)=O	CC(CC(O)=O)C(O)=O	1
OC(=O)c1ccccc1O	CN1N(C(=O)C=C1C)c1ccccc1	1
Fc1c(F)c(F)c(F)c(F)c1F	c1cc2ccc3cccc4ccc(c1)c2c34	1
O=P(c1ccccc1)(c1ccccc1)c1ccccc1	O=C(Nc1ccccc1)Nc1ccccc1C#N	1
OC(=O)C1=CC=CC=C1	NC1=CC=C(C=C1)C(O)=O	0
O=C1NC=CC=C1	Oc1ccc(cc1)N(=O)=O	1
N#CC(C#N)=C(C#N)C#N	COc1cc2CSCc3ccc(CSCc1cc2OC)cc3	1
Fc1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F	c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61	1
c1ccc2cc3ccccc3cc2c1	Fc1c(F)c(F)c2c(F)c3c(F)c(F)c(F)c(F)c3c(F)c2c1F	1
OC(=O)c1cccnc1Nc1cccc(c1)C(F)(F)F	c1cc(ccn1)c1ccncc1	1
C1=NC=CC(=C1)C1=CC=NC=C1	CC1=CC=CC=C1C(N)=O	0
[O]n1ccc(cc1)c1ccn([O])cc1	Oc1ccc(Cl)cc1Sc1cc(Cl)ccc1O	1
Oc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O	C1N2CN3CN1CN(C2)C3	1
CSc1cc2Sc3cc(SC)c(SC)cc3Sc2cc1SC	N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N	1
c1ccc2c(c1)N(c1ccc(nn1)N1c3ccccc3c3ccccc13)c1ccccc21	N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N	1
NC(N)=O	NC(=O)C1=CC=CC=C1[N+](=O)[O-]	0
[O-][N+]12CN3CN(CN(C3)C1)C2	NC(N)=S	1
Cc1cccc(C)n1	OC(c1ccccc1)(c1ccccc1)C(O)(c1ccccc1)c1ccccc1	1
OC(=O)c1ccc(O)cc1	C[N+]1(CCCCC1)CC(=O)[O-]	1
NC(=O)c1cccnc1	COc1cc(ccc1O)C(O)=O	1
c1cc2cccc(c3ccncc3)c2c(c1)c1ccncc1	CC(=CC=C(C)C(O)=O)C(O)=O	1
c1ccc2nc3ccccc3nc2c1	Oc1cc(O)cc(O)c1	1
NC(N)=O	c1cc(ccn1)c1ccncc1	1
CCOC(=O)C1=CN=CNC1=O	CCOC(=O)C1=CNC=NC1=O	1
CC1=CC2=C(C=C1)C=CC(=C2)C	CC1=CC2=C(C=C1)C=C(C)C=C2	0
Nc1ccc(cc1)C(O)=O	OC(=O)c1ccc(cc1)N(=O)=O	1
Nc1c(F)c(N)c(Cl)c(F)c1F	C1COCCOCCOCCOCCOCCO1	1
CC(NC(=O)c1ccccc1C(F)(F)F)c1ccccc1	CC(NC(=O)c1ccccc1N(=O)=O)c1ccccc1	1
Fc1c(F)c(N=Nc2c(F)c(F)c(I)c(F)c2F)c(F)c(F)c1I	CCCCCc1ccc(cc1)c1ccc(cc1)C#N	1
OC(=O)CCCCC(O)=O	C(N1C=CN=C1C1=NC=CN1Cc1ccncc1)c1ccncc1	1
OC(CC(O)=O)C(O)=O	COC1=CC=C(C=C1)C(O)=O	0
Oc1ccc(cc1)N=Nc1ccccc1C(O)=O	O=C(NCc1ccncc1)C(=O)NCc1ccncc1	1
Fc1c(I)c(F)c(I)c(F)c1I	CCCCCCOc1ccc(cc1)C1=NN=C(O1)c1ccncc1	1
C1C2=CC=CC=C2C2=CC=CC=C12	O=[N+]([O-])C1=CC=C(C=C1)[N+](=O)[O-]	0
c1ccc2ccccc2c1	Fc1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F	1
c1cc2ccc3cccc4ccc(c1)c2c34	O=C1c2cccc(c2C(=O)c2c1cccc2N(=O)=O)N(=O)=O	1
Cc1cccc(O)c1	CC(C)N(C(C)C)C(=O)C(=O)N(C(C)C)C(C)C	1
Fc1c(F)c(I)c(F)c(F)c1I	COc1cccc(C=Nc2ccc(I)cc2)c1O	1
