MOL1	MOL2	CLASS
OC(=O)c1cc(ccc1O)c1ccc(F)cc1F	CN1C(=O)N(C)C2=C(NC=N2)C1=O	1
Oc1ccc(cc1)C1=COc2cc(O)cc(O)c2C1=O	O=C([O-])C1[NH2+]CCC1	1
N1C2=C(c3ccncc3)C3=NC(=C(C4=CC=C(N4)C(=C4C=CC(=N4)C(=C1C=C2)c1ccncc1)c1ccncc1)c1ccncc1)C=C3	COc1ccccc1O	1
OC1CCc2ccc(cc12)N(=O)=O	OC1CCc2c1cccc2N(=O)=O	1
OC(C1OC2(CCCCC2)OC1C(O)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1	CCC(Cc1ccccc1)C(=O)c1ccccc1	1
CC1=NC=C(CO)C(=C1O)CO	OC(=O)C1=CN=CC=C1	0
OC(=O)c1cc(O)ccc1O	O=C1CC2(CCCCC2)CN1	1
OC(=O)C=Cc1ccccc1	COc1cc(OC)nc(N)n1	1
CN(C)S(=O)(=O)c1ccc(C)cc1	ClC1=C(N=C2N1N=NN1C(=C(N=C21)N(=O)=O)Cl)N(=O)=O	1
Oc1ccc2c(Oc3cc(O)ccc3C32OC(=O)c2ccccc32)c1	c1ccc2nc3ccccc3cc2c1	1
OC(=O)c1ccc(O)cc1	FC1=CNC(=O)NC1=O	1
CC(C(O)=O)c1ccccc1	c1ccc2nc3ccccc3cc2c1	1
Cc1cccc(O)c1	OC(=O)c1cc(cc(c1)C(O)=O)C(O)=O	1
OC(=O)CC(=CC(O)=O)C(O)=O	NC(=O)C1=CC=CC=C1N	0
OC1=CC=CC(=C1)C=O	OC1=CC=C(C=C1)[N+](=O)[O-]	0
CN1C(=C(O)C2=CC=CC=C2S1(=O)=O)C(=O)NC1=CC=CC=N1	OC(C(O)C(O)=O)C(O)=O	0
OCCCCCCCCCCO	Nc1ccc(N)cc1	1
C1=CC=C(C=C1)C(C1=CC=CC=C1)C1=CC=CC=C1	OC1=CC=CC=C1[N+](=O)[O-]	0
CC1=[NH]NC(=O)C1C1(O)C(=NNC1=O)C	CC1=[NH]N=C(O)C1C1(O)C(=NNC1=O)C	1
OC(=O)c1cccc(O)c1	[NH3+]CC1(CCCCC1)CC(=O)[O-]	1
Nc1ccc(cc1)C(O)=O	COc1cc(OC)nc(N)n1	1
OC(=O)C1=CC=CC=C1O	CC1=CC=CC=C1C(N)=O	0
O=C1CNC(=O)CN1	Oc1cc(Cl)c(O)cc1Cl	1
Fc1c(F)c(Br)c(F)c(F)c1Br	c1cc(ccn1)C=Cc1ccncc1	1
NC(N)=S	CC1(C)Oc2ccc3C=CC(=O)Oc3c2C=C1	1
CC1=NC=C(CO)C(=C1O)CO	CC1=CC=C(C=C1)C(N)=O	0
OC(C(O)=O)c1ccccc1	NC(=O)c1cccnc1	1
Fc1c(F)c(I)c(F)c(F)c1I	O=P(c1ccccc1)(c1ccccc1)c1ccccc1	1
CCCCCCCC(O)=O	NC(=O)C1=CC=CC=C1[N+](=O)[O-]	0
S=C1NCCN1	IC(I)=C(I)I	1
OC(=O)c1ccc2ccccc2c1O	CN1C(=C(O)c2ccccc2S1(=O)=O)C(=O)NC1=NC=C(C)S1	1
C1CCc2ncccc2C1	Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl	1
c1cc2cccc(c3ccncc3)c2c(c1)c1ccncc1	OC(=O)c1ccc(cc1)C(O)=O	1
CN1CC(=O)N2C(CC3=C(Nc4ccccc34)C2c2ccc3OCOc3c2)C1=O	OC(=O)CC(O)=O	1
Fc1c(F)c(I)c(F)c(I)c1F	c1ccc2nc3ccccc3cc2c1	1
OC(=O)c1ccccc1C(O)=O	CN1C(=O)N(C)C2=C(NC=N2)C1=O	1
CCCCCC(=O)c1c(O)cc(O)cc1O	c1cc(ccn1)C=Cc1ccncc1	1
C[N+]1([O-])CCOCC1	OC1CCCCC1O	1
COC1=CC2=C(C=C1)N(C(=C2CC(O)=O)C)C(=O)C1=CC=C(Cl)C=C1	COC1=C(O)C=CC(=C1)C(O)=O	0
OC(=O)CCC(O)=O	OC(=O)CC(O)=O	0
OC(CC(O)=O)C(O)=O	OC(=O)C1=CC=CC=C1F	0
NC(=O)c1cnccn1	OC(=O)c1ccc(O)cc1	1
NC(=O)c1ccncc1	OC(=O)COc1cccc(c1)C(O)=O	1
OC1=C(O)C(=O)C1=O	CC[N+]1(CCCCC1)CC(=O)[O-]	1
CC12CCC3C(CCc4cc(O)ccc34)C1CCC2=O	Fc1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F	1
OC(=O)c1ccc(F)cc1	c1cc(ccn1)C=Cc1ccncc1	1
CC1CC2C(C=C1)C1OC3OC(C)(C)OC3C1OC2=O	CC1(C)OC2OC3C(OC(=O)C4CCC=CC34)C2O1	1
S1C(=C(c2ccncc2)C(=C1c1ccncc1)c1ccncc1)c1ccncc1	OC(=O)c1cc(C(O)=O)c(cc1C(O)=O)C(O)=O	1
OC(=O)CCOc1ccc(C=O)cc1	CN1C=NC2=C1C(=O)N(C)C(=O)N2C	1
c1cc(ccn1)c1ccncc1	Ic1ccc(I)cc1	1
OC(=O)c1ccc(cc1)C(O)=O	O1C(=NN=C1c1ccncc1)c1ccncc1	1
Cc1ccncc1	CC(C)(NC(=O)NCc1ccncc1)c1cccc(c1)C(C)(C)NC(=O)NCc1ccncc1	1
N#CSC1=C(SC#N)SC(S1)=C1SC2=C(OCCO2)S1	FC1=C(F)C(C(=C(F)C1=C(C#N)C#N)F)=C(C#N)C#N	1
OC(=O)c1cccc(O)c1	C(Cc1ccncc1)c1ccncc1	1
O=C1N(C2CCC2)C(=O)C2=C1SC1=C(S2)C(=O)N(C2CCC2)C1=O	Brc1c2ccccc2cc2ccccc12	1
NNC(=O)c1ccncc1	OC(=O)c1ccc(cc1)C(O)=O	1
CCCOC(=O)c1cc2cc(C(=O)OCCC)c3OCCCC(=O)Nc4cccc(NC(=O)CCCOc1cc2c3)n4	CCCCN1C=C(C)C(=O)NC1=O	1
CC1=CC2=C(C=C1C)N(CC(O)C(O)C(O)CO)C1=NC(=O)NC(=O)C1=N2	OC(=O)C1=CC=C(C=C1)[N+](=O)[O-]	0
FC(F)(I)C(F)(F)C(F)(F)C(F)(F)I	c1ccc2nc3ccccc3nc2c1	1
CC1=NC=C(CO)C(=C1O)CO	OC(=O)C1=CC=CC=C1O	0
Nc1nc(N)nc(n1)c1ccccc1	OC(=O)c1ccc(cc1)C(O)=O	1
O=C(N(N=C1C(=O)c2ccccc2C1=O)c1ccccc1)c1ccccc1	O=C1c2ccccc2C(=O)C1=NNc1ccccc1	1
NC(=O)Nc1cccc(Cl)c1	C1COCCOCCOCCOCCOCCO1	1
N1C2=CC=CC=C2C2=CC=CC=C12	OC1=CC=CC=C1[N+](=O)[O-]	0
Oc1ccc(cc1)N(=O)=O	CN1C(=O)N(C)C2=C(N=CN2)C1=O	1
c1ccc2cc3ccccc3cc2c1	CCN1C(=O)C2=C(SC3=C(S2)C(=O)N(CC)C3=O)C1=O	1
