drug	pathway
berberine	KEGG_hsa04918	1
berberine	KEGG_hsa04922	1
berberine	KEGG_hsa05034	1
berberine	KEGG_hsa04910	1
berberine	KEGG_hsa04151	1
berberine	KEGG_hsa05168	1
berberine	KEGG_hsa04611	1
berberine	KEGG_hsa05169	1
berberine	KEGG_hsa04978	1
berberine	KEGG_hsa00130	1
berberine	KEGG_hsa00510	1
berberine	KEGG_hsa04064	1
berberine	KEGG_hsa04640	1
berberine	KEGG_hsa05200	1
berberine	KEGG_hsa05310	1
berberine	KEGG_hsa03008	1
berberine	KEGG_hsa04380	1
berberine	KEGG_hsa04911	1
berberine	KEGG_hsa05031	1
berberine	KEGG_hsa04915	1
berberine	KEGG_hsa05414	1
berberine	KEGG_hsa00564	1
berberine	KEGG_hsa04975	1
berberine	KEGG_hsa04971	1
berberine	KEGG_hsa05130	1
berberine	KEGG_hsa05202	1
berberine	KEGG_hsa04211	1
berberine	KEGG_hsa04261	1
berberine	KEGG_hsa00360	1
berberine	KEGG_hsa04742	1
berberine	KEGG_hsa05221	1
berberine	KEGG_hsa05322	1
berberine	KEGG_hsa00983	1
berberine	KEGG_hsa04725	1
berberine	KEGG_hsa04964	1
berberine	KEGG_hsa05014	1
berberine	KEGG_hsa05132	1
berberine	KEGG_hsa05143	1
berberine	KEGG_hsa00980	1
berberine	KEGG_hsa04022	1
berberine	KEGG_hsa04623	1
berberine	KEGG_hsa04520	1
berberine	KEGG_hsa01100	1
berberine	KEGG_hsa05214	1
berberine	KEGG_hsa00053	1
berberine	KEGG_hsa01210	1
berberine	KEGG_hsa00030	1
berberine	KEGG_hsa00051	1
berberine	KEGG_hsa05220	1
berberine	KEGG_hsa05218	1
berberine	KEGG_hsa00511	1
berberine	KEGG_hsa00640	1
berberine	KEGG_hsa05223	1
berberine	KEGG_hsa04114	1
berberine	KEGG_hsa04070	1
berberine	KEGG_hsa04932	1
berberine	KEGG_hsa01200	1
berberine	KEGG_hsa04710	1
berberine	KEGG_hsa05142	1
berberine	KEGG_hsa05152	1
berberine	KEGG_hsa04622	1
berberine	KEGG_hsa04014	1
berberine	KEGG_hsa05416	1
berberine	KEGG_hsa04146	1
berberine	KEGG_hsa05144	1
berberine	KEGG_hsa05145	1
berberine	KEGG_hsa00920	1
berberine	KEGG_hsa05030	1
berberine	KEGG_hsa04150	1
berberine	KEGG_hsa05120	1
berberine	KEGG_hsa05204	1
berberine	KEGG_hsa05166	1
berberine	KEGG_hsa04621	1
berberine	KEGG_hsa04612	1
berberine	KEGG_hsa04390	1
berberine	KEGG_hsa00982	1
berberine	KEGG_hsa04145	1
berberine	KEGG_hsa04024	1
berberine	KEGG_hsa04723	1
berberine	KEGG_hsa00860	1
berberine	KEGG_hsa03020	1
berberine	KEGG_hsa04724	1
berberine	KEGG_hsa05150	1
berberine	KEGG_hsa01230	1
berberine	KEGG_hsa04340	1
berberine	KEGG_hsa00600	1
berberine	KEGG_hsa00040	1
berberine	KEGG_hsa05110	1
berberine	KEGG_hsa04730	1
berberine	KEGG_hsa00072	1
berberine	KEGG_hsa05412	1
berberine	KEGG_hsa04917	1
berberine	KEGG_hsa04931	1
berberine	KEGG_hsa04659	1
berberine	KEGG_hsa04919	1
berberine	KEGG_hsa04137	1
berberine	KEGG_hsa03015	1
berberine	KEGG_hsa04660	1
berberine	KEGG_hsa00500	1
berberine	KEGG_hsa05230	1
berberine	KEGG_hsa00604	1
berberine	KEGG_hsa00240	1
berberine	KEGG_hsa00592	1
berberine	KEGG_hsa04540	1
berberine	KEGG_hsa03420	1
berberine	KEGG_hsa05217	1
berberine	KEGG_hsa04120	1
berberine	KEGG_hsa05211	1
berberine	KEGG_hsa00532	1
berberine	KEGG_hsa03320	1
berberine	KEGG_hsa04152	1
Ginsenoside Ro	KEGG_hsa04614	1
Ginsenoside Ro	KEGG_hsa01521	1
Ginsenoside Ro	KEGG_hsa01523	1
Ginsenoside Ro	KEGG_hsa01522	1
Ginsenoside Ro	KEGG_hsa04010	1
Ginsenoside Ro	KEGG_hsa05418	1
Ginsenoside Ro	KEGG_hsa00900	1
Ginsenoside Ro	KEGG_hsa00220	1
Ginsenoside Ro	KEGG_hsa04110	1
Ginsenoside Ro	KEGG_hsa04144	1
Ginsenoside Ro	KEGG_hsa04260	1
Ginsenoside Ro	KEGG_hsa04916	1
Ginsenoside Ro	KEGG_hsa05162	1
Ginsenoside Ro	KEGG_hsa05131	1
Ginsenoside Ro	KEGG_hsa04977	1
Ginsenoside Ro	KEGG_hsa00350	1
Ginsenoside Ro	KEGG_hsa04728	1
Ginsenoside Ro	KEGG_hsa04550	1
Ginsenoside Ro	KEGG_hsa00250	1
Ginsenoside Ro	KEGG_hsa05016	1
Ginsenoside Ro	KEGG_hsa05134	1
Ginsenoside Ro	KEGG_hsa04924	1
Ginsenoside Ro	KEGG_hsa00410	1
Ginsenoside Ro	KEGG_hsa03450	1
Ginsenoside Ro	KEGG_hsa00071	1
Ginsenoside Ro	KEGG_hsa04933	1
Ginsenoside Ro	KEGG_hsa03410	1
Ginsenoside Ro	KEGG_hsa03010	1
Ginsenoside Ro	KEGG_hsa05146	1
Ginsenoside Ro	KEGG_hsa03013	1
Ginsenoside Ro	KEGG_hsa04510	1
Ginsenoside Ro	KEGG_hsa04972	1
Ginsenoside Ro	KEGG_hsa05161	1
Ginsenoside Ro	KEGG_hsa00650	1
Ginsenoside Ro	KEGG_hsa00190	1
Ginsenoside Ro	KEGG_hsa05332	1
Ginsenoside Ro	KEGG_hsa04810	1
Ginsenoside Ro	KEGG_hsa05231	1
Ginsenoside Ro	KEGG_hsa05164	1
Ginsenoside Ro	KEGG_hsa03040	1
Ginsenoside Ro	KEGG_hsa04668	1
Ginsenoside Ro	KEGG_hsa04974	1
Ginsenoside Ro	KEGG_hsa00061	1
Ginsenoside Ro	KEGG_hsa04912	1
Ginsenoside Ro	KEGG_hsa04962	1
Ginsenoside Ro	KEGG_hsa00232	1
Ginsenoside Ro	KEGG_hsa00770	1
Ginsenoside Ro	KEGG_hsa05215	1
Ginsenoside Ro	KEGG_hsa05321	1
Ginsenoside Ro	KEGG_hsa04960	1
Ginsenoside Ro	KEGG_hsa01212	1
Ginsenoside Ro	KEGG_hsa05222	1
Ginsenoside Ro	KEGG_hsa05410	1
Ginsenoside Ro	KEGG_hsa04530	1
Ginsenoside Ro	KEGG_hsa04210	1
Ginsenoside Ro	KEGG_hsa04310	1
Ginsenoside Ro	KEGG_hsa05020	1
Ginsenoside Ro	KEGG_hsa04721	1
Ginsenoside Ro	KEGG_hsa00565	1
Ginsenoside Ro	KEGG_hsa00670	1
Ginsenoside Ro	KEGG_hsa00790	1
Ginsenoside Ro	KEGG_hsa04066	1
Ginsenoside Ro	KEGG_hsa01524	1
Ginsenoside Ro	KEGG_hsa04371	1
Ginsenoside Ro	KEGG_hsa03460	1
Ginsenoside Ro	KEGG_hsa00010	1
Ginsenoside Ro	KEGG_hsa04630	1
Ginsenoside Ro	KEGG_hsa00760	1
Ginsenoside Ro	KEGG_hsa00270	1
Ginsenoside Ro	KEGG_hsa04920	1
Ginsenoside Ro	KEGG_hsa04670	1
